Title,Authors,Location,When,Conference,Award,Tag
"News Articles on Social Media: Showing Balanced Content Adds More Credibility Than Trust Badges or User Ratings",,"Copenhagen, DK",07/26/23,"Digital Human Modeling Conference",,talk
"Using Agent-Based Modeling to Understand Complex Social Phenomena-A Curriculum Approach",,"Copenhagen, DK",07/26/23,"Digital Human Modeling Conference",,talk
"Let’s Start Tomorrow-Bridging the Intention Behavior Gap Using Fitness Apps",,"Copenhagen, DK",07/26/23,"Digital Human Modeling Conference",,talk
"Using agent-based modeling to understand the systemic impact of ICT interventions on sustainable mobility",,"Copenhagen, DK",07/23/23,"DTU University Copenhagen",,lecture
"Modeling Behavior using Psychological Models in Pandemics",,"Funchal, Portugal",03/30/23,"Modus-Covid Expert Exchange (Keynote)",,lecture
"Structural Equation Modeling in HCI Research using SEMinR",,"Hamburg, Germany",04/27/23,"ACM CHI Conference on Human Factors in Computing Systems",,talk
"The Influence of User Diversity on Motives and Barriers when Using Health Apps-A Conjoint Investigation of the Intention-Behavior Gap",,"Vienna, AT",09/01/2022,"CD-Make Conference",,talk
"Visualizing Large Collections of URLs Using the Hilbert Curve",,"Vienna, AT",09/01/2022,"CD-Make Conference",,talk
"Requirements and Uses for Developing an Anxiety Index",,"Berlin, Germany",05/01/2022,"Expertengespräch bei der Landesvertetung Schlesweig Holstein",,lecture
"Understanding Human-AI Interaction in A Social Media World (Keynote)",,"Disseminate Conference (NL, virtual)",03/03/21,"Disseminate Conference",,lecture
"Making Reproducible Research Simple Using RMarkdown and the OSF",,HCI International (virtual),06/21/20,"Human-Computer Interaction International",,talk
"Evaluation of a Financial Portfolio Visualization using Computer Displays and Mixed Reality Devices with Domain Experts",,ACM SIGCHI (virtual),04/27/20,"ACM Conference on Human Factors in Computing Systems",,talk
"Privacy in Personalized Health Informatics",,TU Dresden Else Kröser-Fresenius Center for Digital Health (virtual),04/27/20,"Digital Health – From Innovation to Patient Benefit",,lecture
"Ethics by Design, Akzeptanz und ethische Begleitung in der Entwicklung automatisierter Analysetools",,"Frankfurt, DE",02/19/2020,"GPEC 2020",, lecture
"Menschen und KI - Wer versteht hier wen? (Keynote)",,"Erfurt, DE",02/18/2020,"Data Community Meetup Deutsche Bahn",, lecture
"Human-Algorithm Interaction (Keynote)",,"Heerlen, NL",02/17/2020,"DataVisCamp 2020",, lecture
"Towards an Understanding of Opinion Formation on the Internet - Using a Latent Process Model to Understand the Spread of Information on Social Media",,"Mainz, DE",09/18/2019,European Social Simulation Conference,,talk
"Trends and Changes in the Field of HCI the Last Decade from the Perspective of HCII Conference",,"Orlando, USA",07/30/2019,Human-Computer Interaction International,,talk
"Computational Methods in Professional Communication",,"Aachen, Germany",07/25/2019, IEEE Professional Communication,,talk
"Quantitative Evaluation of Information Visualization",,"Heerlen, NL",4/02/2019, BISS Brightlands Smart Services Campus - Zuyd Hogeschool ,,lecture
"User-Centered Design of Information Visualization",,"Heerlen, NL",2/26/2019, BISS Brightlands Smart Services Campus - Zuyd Hogeschool,,lecture
"Human and Algorithmic Contributions to Misinformation Online - Identifying the Culprit (Keynote)",,Hamburg,02/17/2019, Misdoom Conference,,lecture
"Industry 4.0 and its Future Staff. Matching Millennials Perceptions of a Perfect Job with the Requirements of Digitalization",,"Stellenbosch, ZA",01/30/2019, Competitive Manufacturing Conference (COMA),,talk
"Predicting Acceptance of Novel Technology from Social Network Data-An Agent-based Simulation-Approach",,"Stellenbosch, ZA",01/30/2019, Competitive Manufacturing Conference (COMA),,talk
