Start,End,What,With,Where,Tag,Why
10/1/23,present,Responsible Use of Generative AI (Ringvorlesung),jedes Wintersemester,alle Studierende,teaching,In dieser Vorlesung lernen die Studierenden die ethischen und rechtlichen Aspekte des verantwortungsvollen Einsatzes von generativer KI kennen und diskutieren diese.
10/1/22,present,Usability und UX Engineering (Vorlesung und Übung),jedes Wintersemester,"B.Sc. Medieninformatik, Informatik",teaching,In dieser Vorlesung lernen die Studierenden die ingenieurhafte Entwicklung von Benutzbaren Systemen und User Experience kennen und wenden diese in einer Übung an.
10/1/22,present,Mensch-Technik-Interaktion (Vorlesung und Übung),jedes Wintersemester,"B.Sc. Informatik, Computersicherheit, Robotik und Automation",teaching,In dieser Vorlesung lernen die Studierenden die Grundlagen der Mensch-Technik-Interaktion kennen und vertiefen die Inhalte mit Übungen.
10/1/22,present,Prozessführungssysteme (Vorlesung und Übung),jedes Wintersemester,"B.Sc. Informatik, Medieninformatik",teaching,In dieser Vorlesung lernen die Studierenden Prozessführungssysteme in sicherheitsrelevanten Systemen kennen und untersuchen einen Katastrophenfall.
4/1/23,present,"Statistik und Methoden der Nutzendenforschung (Vorlesung, Seminar und Übung)",jedes Sommersemester,B.Sc. Medieninformatik,teaching,In dieser Vorlesung lernen die Studierenden die Grundlagen der Statistik und Methoden der Nutzendenforschung kennen und wenden diese in einer Übung an einer eigenen Forschungsfrage an.
4/1/22,present,Forschungsthemen der Medieninformatik (Vorlesung und Seminar),jedes Sommersemester,M.Sc. Medieninformatik,teaching,In dieser Vorlesung lernen die Studierenden aktuelle Forschungsthemen der Medieninformatik kennen und entwickeln ein eigenes Forschungsprojekt.
10/1/22,present,Interaktive Systeme (Vorlesung und Übung),jedes Semester,"B.Sc. Informatik, Medieninformatik, Robotik und Automation",teaching,"In dieser Vorlesung lernen die Studierenden die Grundlagen der Entwicklung von Interaktiven Systeme theoretisch und praktisch kennen. Studierende entwickeln zwei eigene Projekte im Verlauf von 2 Semestern"
4/1/22,10/1/22,Software Ergonomie (Vorlesung und Übung),"Sommersemester 2022","B.Sc. Medieninformatik",teaching,"In dieser Vorlesung lernen die Studierenden die Grundlagen der Software-Ergonomie kennen und wenden diese in einer Übung an."
10/1/21,3/1/22,Korpuslinguistik (Vorlesung und Übung),einmalig,M.A. Digitale Medienkommunikation,teaching,"In dieser Vorlesung lernen Studierende die Ggrundlagen der Computerlinguistik und des Natural Language Processings kennen und wenden diese in einer Übung an." 
4/1/18,3/1/22,Doktorandenkolloquium (Kolloquium),jedes Semester,Promotion Informatik/Technikkommunikation,teaching,"In diesem Kurs lernen die Doktoranden fortgeschrittene Forschungsmethoden kennen (systematische Literaturrecherche, Modellierung von Strukturgleichungen, maschinelles Lernen, agentenbasierte Modellierung in Julia)."
4/1/16,3/1/22,Methoden der Technikkommunikation (Forschungsplenum),jedes Semester,B.Sc. Technikkommunikation,teaching,In diesem Kurs recherchieren die Studierenden in kleinen Gruppen und schreiben kurze wissenschaftliche Artikel. Das Thema wechselt jedes Semester.
4/1/16,3/31/18,Visuelle Empfehlungssysteme (Proseminar),Sommersemester,B.Sc. Informatik,teaching,In diesem Kurs präsentieren die Studierenden den Inhalt einer wissenschaftlichen Arbeit und schreiben eine Kurzarbeit über visuelle Recommender-Systeme.
10/1/15,3/1/22,Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene (Vorlesung),Wintersemester,M.A. Digitale Medienkommunikation,teaching,"In dieser Vorlesung lernen die Studierenden fortgeschrittene Methoden der sozialwissenschaftlichen Forschung mit Hilfe der Sprache R kennen (systematische Literaturrecherche, Formulierung einer Forschungsfrage, Messtheorie, Datenerhebung, statistische Auswertung, wissenschaftliches Berichten).;Lehrassistent in den Jahren 2015 und 2016. Vorlesung selbstständig gehalten in den Jahren 2017-2021.;Der Kurs wurde 2018 von der Verwendung von SPSS auf R für statistische Analysen umgestellt.;Diese Vorlesung wird von einem Seminar begleitet, in dem die Studierenden das theoretische Wissen auf ein Szenario aus dem wirklichen Leben anwenden."
10/1/15,3/1/22,Sozialwissenschaftliche Forschungsmethoden in der Anwendung (Seminar),Wintersemester,M.A. Digitale Medienkommunikation,teaching,In diesem Seminar werden die  Methoden zur Vorlesung mit Hilfe der Sprache R angewendet. Studierende Entwickeln im Seminar ein eigenes Forschungsprojekt und erheben hierfür Daten. Diese werden im Seminar analysiert und präsentiert.
10/1/15,3/1/22,Anwendungsseminar (Seminar),Wintersemester,M.A. Digitale Medienkommunikation,teaching,Begleitendes Seminar zur Vorlesung Sozialwissenschaftliche Forschungsmethoden für Fortgeschrittene.
10/1/13,3/1/22,Darstellungsformen in der Wissenschaft (Ringvorlesung),Wintersemester,B.A. Sprach- und Kommunikationswissenschaft,teaching,In dieser Vorlesung lernen die Studierenden die visuelle Darstellung von quantitativen Informationen und vernetzten Daten kennen.
4/1/14,3/1/22,Interdisziplinäres Publizieren (Graduierten-Seminar),jedes Semester,Alle Doktoranden der RWTH,teaching,"In diesem Seminar, das sich an Doktoranden richtet, lernen die Teilnehmer wissenschaftliches Publizieren, wissenschaftliche Metriken, Ethik in der Wissenschaft und Open-Access-Publizieren."
10/1/13,3/1/22,"Usability, User Diversity und Technologie-Akzeptanz (Seminar)",Wintersemester,"M.A. Digitale Medienkommunikation, M.Sc. Techniksche Kommunikation, M.Sc. Mobilität und Logistik",teaching,"In diesem Seminar versuchen die Studierenden, eine selbstgewählte Forschungsfrage zu beantworten.;Die Studierenden dieses Kurses können ihre Methoden (qualitativ, quantitativ) auswählen.;Die thematische Ausrichtung des Seminar orientiert sich an aktuellen Forschungsthemen der Mensch-Technik Interaktion."
4/1/2011,9/30/2011,Interaktion und Kommunikation zwischen Mensch und Technik (Seminar),einmalig,MA Sprach- und Kommunikationswissenschaft,teaching,In diesem Seminar führten die Studierenden gemeinsam Forschungen über soziale Medien und Nutzungsmotivation durch.
4/1/2012,3/1/22,Bachelor-Kolloquium (Kolloquium),jedes Semester,B.Sc. Technische Kommunikation,teaching,In diesem Kolloquium lernen die Studierenden das Handwerk des wissenschaftlichen Schreibens und die Strukturierung eines Forschungsberichts kennen.
4/1/2011,9/30/2012,Forschungspraktikum (Praktikum),zweimalig,B.Sc. Technische Kommunikation,teaching,In diesem Kurs müssen Studierende während eines vierwöchigen Vollzeit-Praktikums eine eigene  Forschungsfrage entwickeln und lernen diese mit anderen Teilnehmern gemeinsam effektiv zu bearbeiten.
4/1/2017,9/30/2017,Agentenbasierte Modellierung (Seminar),einmalig,M.A. Digitale Medienkommunikation,teaching,"In diesem Seminar lernten die Studierenden, Simulationen in Netlogo zu programmieren. Studierende sollten sich mit Fragen vn Komplexität und Systemtheorie im Kontext von Social Media auseinandersetzen."
4/1/2016,3/1/22,Informationsvisualisierung und Sprache (Seminar),Sommersemester,M.A. Digitale Medienkommunikation,teaching,"In diesem Seminar lernen die Studierenden, interaktive Informationsvisualisierungen mit offenen Datensätzen oder Text-Mining-Tools zu programmieren.;Die in den ersten Iterationen verwendete Programmiersprache war Processing.;Derzeit verwendet der Kurs R, RMarkdown, Shiny und GGPlot als Programmierumgebung."
10/1/2009,10/01/2009,Webtechnologien (Kolloquium),einmalig, Diplom-Informatik,teaching,"In diesem Kolloquium haben die Studierende gelernt, interaktive Websites mit PHP und Java EE zu programmieren."
