year,name,degree,subject,author
2019,"The effect of personality traits on polarization - An agent-based simulation of opinion forming in social media",M.Sc.,Technical Communication,N. Lindstädt
2019,"The Influence of User Diversity on Polarization in Opinion Formation in Social Media",M.A.,Digital Media Communication,V. Götzl
2019,"Democracy of Opinions 2.0 – The influence of Social Media and Recommender Systems on Opinion Formation in the Digital Society",M.Sc.,Technical Communication,P. Halbach
2019,"Prediction of Opinion Formation and Polarization in Social Networks – An Agent-based model of Recommender Systems and Persuasion Models",M.Sc.,Technical Communication,A. van Aalst
2019,"Development of a Framework for user evaluation of Recommender systems – Examplary test and validation using news articles",M.Sc.,Technical Communication,S. Ahlers
2019,"User-Centered Development and Evaluation of a Gamification Concept in a Shared-Mobility Context",M.Sc.,Computer Science,P. Uhl
2018,"Guided Reflective Thinking: Supporting Non-Expert Researchers Gain Orientation",M.Sc.,Computer Science,S. Hardat
2017,"Interactive Visual Recommendations in Academic Networks",M.Sc.,Computer Science,U. Muslim
2017,"Trust in Decision Support Systems under Uncertainty in Sociotechnical Production Systems",M.A.,Digital Media Communication,L. Mhethawi
2017,"Visualization Techniques to Support Awareness and Reflection in Academic Networks",M.Sc.,Computer Science,L. Bildea
2017,"Restoring Trust in Decision Support Systems in Sociotechnical Production Systems",M.A.,Digital Media Communication,J. Bialas
2016,"Trust in e-commerce. An empirical analysis of relevant factors influencing trust in online B2C communication.",M.A.,Political Communication,T. Stief
2016,"Information visualization for financial management in scientific institutes. A study to examine management processes from a UI/UX perspective",M.Sc.,Technical Communication,S. Spross
2016,"Development and Validation of a Framework for the Automated Acquisition, Aggregation, and Evaluation of Empirical Data",M.Sc.,Computer Science,S. Schulte
2015,"Insights from multidimensional information visualization A study of the influence of user diversity using memoSlice",M.Sc.,Technical Communication,S. DeLuca
2015,"High Potentials in Industry 4.0 --- An empirical investigation of the perspectives of employees and employers in the context of the digital revolution and changing values in the work environment",M.A.,Communication Science,T. Hamann
2015,"Information visualization in knowledge management - user-centered development and evaluation using a design study",M.Sc.,Technical Communication,M. Bertenburg
2015,"Quality Assurance in a Structured Collaborative Discussion System",M.Sc.,Computer Science,J. Karoff
2015,"Requirements for Digital Health Communication – An empirical study of the impact of user diversity",M.A.,Digital Media Communication,K. Kohl
2015,"Modeling Open Discourse in a Structured Collaborative Discussion System",M.Sc.,Computer Science,F. Dietze
2014,"User Centered Design Approach To Visualise Opportunities for Collaboration in Large Organisations",M.Sc.,Computer Science,A. Yazdi
2014,"Motivation and Acceptance of Social Online Communities in the working context – A user study",M.Sc.,Technical Communication,I. Schuldt
2014,"Usability Evaluation of a Business Community for Internal Knowledge Management",M.A.,Communication Science,M. Hommelsen
2014,"What influences the choice of university? Evaluation of information visualisation in university rankings",M.A.,Communication Science,S. Fingerhut
2014,"Work in Transition of Industry 4.0 – A Stakeholder Analysis of the Influence of Changing Values and the Digital Revolution on Decision Processes during Job Choice",M.A.,Communication Science,C. Noss
2014,"Transparent Interactive Graph Recommender System (TIGRS) - Letting the User Control the Recommender Parameters",M.Sc.,Computer Science,S. Bruns
2014,"The motivation for using Social Media in a corporate framework context",M.A.,Communication Science,M. Michen
2012,"Technology Acceptance of Knowledge Management",M.A.,Communication Science,J. Buchheim
